WB_id,symbol,sequence,live_dead,type,logFC,logCPM,PValue,FDR
WBGene00017866,stn-2,F27D9.8,Live,protein_coding_gene,-0.068821155,3.703876849,0.609364318,0.856675218
WBGene00018319,hda-6,F41H10.6,Live,protein_coding_gene,-0.045072721,5.792579688,0.609546593,0.856675218
WBGene00020883,fbxa-64,T28A11.21,Live,protein_coding_gene,-0.066417358,3.996089484,0.610003596,0.856675218
WBGene00044898,let-383,T21G5.6,Live,protein_coding_gene,0.194700713,0.511003454,0.609434688,0.856675218
WBGene00206362,,B0041.11,Live,protein_coding_gene,-0.085534077,3.01542201,0.609830674,0.856675218
WBGene00013436,,Y66D12A.10,Live,protein_coding_gene,-0.075600102,3.703165677,0.610338073,0.856734478
WBGene00004374,rme-2,T11F8.3,Live,protein_coding_gene,-0.113153716,2.900781802,0.610618497,0.857044111
WBGene00077775,nlp-58,T07C12.15,Live,protein_coding_gene,-0.072193165,3.759752741,0.610948383,0.8574231
WBGene00018270,eas-1,F41C3.4,Live,protein_coding_gene,0.070858118,4.071763467,0.611081608,0.857442029
WBGene00021610,nhr-237,Y46H3D.6,Live,protein_coding_gene,-0.099596639,2.597195895,0.611066578,0.857442029
WBGene00012423,,Y10G11A.1,Live,protein_coding_gene,0.060234762,4.655345583,0.611598942,0.857747753
WBGene00012473,,Y17G7B.22,Live,protein_coding_gene,-0.104451489,1.462962083,0.611511905,0.857747753
WBGene00015236,,B0511.11,Live,protein_coding_gene,-0.152240133,2.245209115,0.611413874,0.857747753
WBGene00019156,,H04M03.12,Live,protein_coding_gene,-0.070309353,4.651905152,0.611540938,0.857747753
WBGene00020486,,T13C5.6,Live,protein_coding_gene,-0.115685407,2.026563428,0.611435684,0.857747753
WBGene00011234,,R11A5.6,Live,protein_coding_gene,-0.147164233,2.210224711,0.611741945,0.857864304
WBGene00005362,srh-146,C31B8.3,Live,protein_coding_gene,-0.160919978,0.840159248,0.61206805,0.858098306
WBGene00009595,cbp-3,F40F12.7,Live,protein_coding_gene,0.052535994,5.3112005,0.612088556,0.858098306
WBGene00015795,,C15F1.2,Live,protein_coding_gene,-0.222145993,3.87017443,0.612036548,0.858098306
WBGene00021309,,Y32G9B.1,Live,protein_coding_gene,-0.117510775,4.019732934,0.612212283,0.858103769
WBGene00044428,,T01D1.7,Live,protein_coding_gene,0.17919833,0.430762609,0.61219867,0.858103769
WBGene00000533,clh-6,R07B7.1,Live,protein_coding_gene,-0.052254712,5.337918822,0.612673576,0.858498284
WBGene00009951,,F53A2.3,Live,protein_coding_gene,-0.175763882,1.061835833,0.612571677,0.858498284
WBGene00019166,tat-2,H06H21.10,Live,protein_coding_gene,0.053675393,5.332471911,0.612672351,0.858498284
WBGene00008096,,C44H4.8,Live,protein_coding_gene,-0.080435661,3.353923575,0.612764815,0.858542132
WBGene00002007,hsp-3,C15H9.6,Live,protein_coding_gene,0.043037614,9.936816005,0.613084618,0.858577227
WBGene00002202,kin-19,C03C10.1,Live,protein_coding_gene,-0.042984235,8.693408069,0.613149552,0.858577227
WBGene00005589,sri-77,D2062.9,Live,protein_coding_gene,-0.17540906,0.086899705,0.613001477,0.858577227
WBGene00007216,,C01A2.4,Live,protein_coding_gene,0.105469123,3.595533567,0.612952234,0.858577227
WBGene00012518,comt-2,Y32B12A.3,Live,protein_coding_gene,0.221441477,0.632315529,0.61309937,0.858577227
WBGene00020562,,T19C3.4,Live,protein_coding_gene,0.048862796,6.307709918,0.613136789,0.858577227
WBGene00009985,,F53F4.1,Live,protein_coding_gene,0.085699007,2.112501117,0.61324017,0.858620169
WBGene00008768,,F13G3.10,Live,protein_coding_gene,-0.065014268,4.515828964,0.61337367,0.858723138
WBGene00001808,gut-2,T10G3.6,Live,protein_coding_gene,0.129653549,2.032357681,0.613503932,0.858737618
WBGene00007193,,B0491.6,Live,protein_coding_gene,-0.055155295,5.726856347,0.613464321,0.858737618
WBGene00009014,,F21D5.9,Live,protein_coding_gene,-0.161443013,1.28898407,0.613619025,0.858781257
WBGene00015955,,C18B2.4,Live,protein_coding_gene,-0.067903081,5.759801119,0.613655033,0.858781257
WBGene00004438,rpl-25.1,F55D10.2,Live,protein_coding_gene,0.064152714,9.484097912,0.613862213,0.858861733
WBGene00015066,,B0228.9,Live,protein_coding_gene,0.214235978,-0.396834794,0.613892442,0.858861733
WBGene00021017,cil-7,W03G9.7,Live,protein_coding_gene,0.095082929,2.38692596,0.613838111,0.858861733
WBGene00013445,,Y66D12A.19,Live,protein_coding_gene,-0.104421434,2.717024583,0.6139821,0.858903266
